Keyword,Intents,Volume,Keyword Difficulty,CPC,Competition Density,brickscapeslandscaping.com,maccollandstokeslandscaping.co.uk,brickscapeslandscaping.com (pages),maccollandstokeslandscaping.co.uk (pages),Results
spencer and co,Commercial,110,11,0.00,0.01,0,49,,https://www.maccollandstokeslandscaping.co.uk/,104
very steep garden ideas,Informational,110,12,0.00,0.41,0,8,,https://www.maccollandstokeslandscaping.co.uk/post/sloped-garden-design-ideas-that-actually-work,203
waterlogged garden,Informational,110,7,0.82,0.91,0,7,,https://www.maccollandstokeslandscaping.co.uk/post/how-to-fix-a-waterlogged-garden,199
albar barrhead,Navigational,90,18,0.78,0.02,0,42,,https://www.maccollandstokeslandscaping.co.uk/,107
albar landscapes barrhead,Navigational,90,16,1.57,0.05,0,30,,https://www.maccollandstokeslandscaping.co.uk/,0
bar area outside,Informational,90,24,1.18,1.00,0,6,,https://www.maccollandstokeslandscaping.co.uk/post/garden-bar-ideas-designs-that-work,193
best driveway,Commercial,90,16,1.30,0.92,0,4,,https://www.maccollandstokeslandscaping.co.uk/post/what-the-best-driveway-ideas-have-in-common,117
big garden ideas uk,Informational,90,23,0.74,0.99,0,2,,https://www.maccollandstokeslandscaping.co.uk/post/large-garden-design-ideas-for-scottish-homes,194
devonshire landscapes,"Informational, Transactional",90,22,1.61,0.12,0,38,,https://www.maccollandstokeslandscaping.co.uk/,106
devonshire landscaping,Navigational,90,24,1.61,0.12,0,39,,https://www.maccollandstokeslandscaping.co.uk/,0
driveway material,Informational,90,7,1.01,1.00,0,8,,https://www.maccollandstokeslandscaping.co.uk/post/what-the-best-driveway-ideas-have-in-common,197
driveway material options,Informational,90,21,0.92,1.00,0,10,,https://www.maccollandstokeslandscaping.co.uk/post/what-the-best-driveway-ideas-have-in-common,59
driveway surfacing options,Informational,90,18,1.02,1.00,0,5,,https://www.maccollandstokeslandscaping.co.uk/post/what-the-best-driveway-ideas-have-in-common,194
fire pit glasgow,Transactional,90,16,0.56,0.75,0,12,,https://www.maccollandstokeslandscaping.co.uk/fire-pits,5150000
fire pit ideas uk,Informational,90,21,0.38,1.00,0,7,,https://www.maccollandstokeslandscaping.co.uk/post/fire-pit-ideas-for-your-garden,193
garden design sloping garden ideas,Informational,90,11,0.67,0.17,0,8,,https://www.maccollandstokeslandscaping.co.uk/post/sloped-garden-design-ideas-that-actually-work,136
garden designer scotland,Commercial,90,37,0.66,0.44,0,25,,https://www.maccollandstokeslandscaping.co.uk/,167
garden designs for large gardens,Informational,90,28,0.77,0.68,0,3,,https://www.maccollandstokeslandscaping.co.uk/post/large-garden-design-ideas-for-scottish-homes,195
garden ideas scotland,Informational,90,-1,0.70,0.98,0,4,,https://www.maccollandstokeslandscaping.co.uk/post/large-garden-design-ideas-for-scottish-homes,134
garden is waterlogged,Informational,90,21,0.82,0.91,0,4,,https://www.maccollandstokeslandscaping.co.uk/post/how-to-fix-a-waterlogged-garden,134
garden kitchen ideas uk,Informational,90,22,0.50,1.00,0,6,,https://www.maccollandstokeslandscaping.co.uk/post/outdoor-kitchen-ideas-for-uk-gardens,191
gardening companies glasgow,Commercial,90,34,1.30,0.55,0,6,,https://www.maccollandstokeslandscaping.co.uk/,109
glasgow driveways,Commercial,90,-1,2.45,0.45,0,6,,https://www.maccollandstokeslandscaping.co.uk/driveways,109
how to design a small garden,Informational,90,23,0.53,0.94,0,16,,https://www.maccollandstokeslandscaping.co.uk/post/small-garden-design-ideas,132
how to flatten garden,Informational,90,16,0.78,0.89,0,4,,https://www.maccollandstokeslandscaping.co.uk/post/how-to-level-a-sloped-garden,107
how to treat waterlogged garden clay soil,Informational,90,6,0.82,1.00,0,6,,https://www.maccollandstokeslandscaping.co.uk/post/how-to-fix-a-waterlogged-garden,129
ideas for a sloped garden,Informational,90,9,0.40,0.25,0,8,,https://www.maccollandstokeslandscaping.co.uk/post/sloped-garden-design-ideas-that-actually-work,196
ideas for gardens with slopes,Informational,90,-1,0.40,0.25,0,2,,https://www.maccollandstokeslandscaping.co.uk/post/sloped-garden-design-ideas-that-actually-work,199
ideas small garden design,Informational,90,25,0.47,1.00,0,6,,https://www.maccollandstokeslandscaping.co.uk/post/small-garden-design-ideas,195
landscape design small garden,Informational,90,35,0.76,1.00,0,16,,https://www.maccollandstokeslandscaping.co.uk/post/small-garden-design-ideas,188
landscape engineering,Navigational,90,19,1.81,0.08,0,70,,https://www.maccollandstokeslandscaping.co.uk/,107
landscape gardeners glasgow west end,Commercial,90,7,1.24,0.57,0,14,,https://www.maccollandstokeslandscaping.co.uk/,109
landscapers scotland,Commercial,90,34,1.55,0.12,0,1,,https://www.maccollandstokeslandscaping.co.uk/,121
landscaping co,Commercial,90,26,3.24,0.45,0,3,,https://www.maccollandstokeslandscaping.co.uk/,52
landscaping co uk,Navigational,90,41,3.80,0.46,0,10,,https://www.maccollandstokeslandscaping.co.uk/,108
landscaping scotland,Commercial,90,29,1.79,0.16,0,6,,https://www.maccollandstokeslandscaping.co.uk/,52
landscaping united kingdom,Commercial,90,27,1.81,0.08,0,11,,https://www.maccollandstokeslandscaping.co.uk/,128
landscapping,Informational,90,46,1.69,0.10,0,16,,https://www.maccollandstokeslandscaping.co.uk/,408000000
large garden design ideas uk,Informational,90,22,0.68,0.46,0,1,,https://www.maccollandstokeslandscaping.co.uk/post/large-garden-design-ideas-for-scottish-homes,190
macc landscapes,Commercial,90,24,2.06,0.37,0,23,,https://www.maccollandstokeslandscaping.co.uk/,103
made to measure pergola near me,Transactional,90,18,1.83,1.00,0,12,,https://www.maccollandstokeslandscaping.co.uk/pergolas,54
modern small garden,Informational,90,19,0.74,1.00,0,42,,https://www.maccollandstokeslandscaping.co.uk/post/small-garden-design-ideas,197
outdoor areas,Informational,90,26,1.86,1.00,0,7,,https://www.maccollandstokeslandscaping.co.uk/post/outdoor-living-space-ideas,202
outdoor kitchen specialists,Commercial,90,32,1.88,0.60,0,24,,https://www.maccollandstokeslandscaping.co.uk/outdoor-kitchens,209
outdoor living area,Informational,90,30,0.98,1.00,0,4,,https://www.maccollandstokeslandscaping.co.uk/post/outdoor-living-space-ideas,181
outdoor living space ideas uk,Informational,90,13,0.90,1.00,0,1,,https://www.maccollandstokeslandscaping.co.uk/post/outdoor-living-space-ideas,196
outdoor living spaces uk,Informational,90,28,0.78,1.00,0,2,,https://www.maccollandstokeslandscaping.co.uk/post/outdoor-living-space-ideas,55
outside living space,Informational,90,26,1.14,1.00,0,5,,https://www.maccollandstokeslandscaping.co.uk/post/outdoor-living-space-ideas,179
outside rooms ideas,Informational,90,-1,1.06,1.00,0,13,,https://www.maccollandstokeslandscaping.co.uk/post/outdoor-living-space-ideas,200
pergola companies near me,Transactional,90,17,3.93,1.00,0,18,,https://www.maccollandstokeslandscaping.co.uk/pergolas,137
pergola in garden design,Informational,90,21,0.64,1.00,0,12,,https://www.maccollandstokeslandscaping.co.uk/post/pergola-design-ideas-maccoll-stokes,197
pergolas scotland,Informational,90,6,1.60,1.00,0,12,,https://www.maccollandstokeslandscaping.co.uk/pergolas,171
resin driveway cost per m2 near me,Transactional,90,3,1.51,0.72,0,4,,https://www.maccollandstokeslandscaping.co.uk/post/resin-driveway-cost-uk-2026-real-prices-from-a-scottish-installer,112
sloping garden design ideas,Informational,90,12,0.67,0.17,0,6,,https://www.maccollandstokeslandscaping.co.uk/post/sloped-garden-design-ideas-that-actually-work,81
small back garden designs,Informational,90,26,0.53,0.95,0,34,,https://www.maccollandstokeslandscaping.co.uk/post/small-garden-design-ideas,200
small back gardens,Informational,90,28,0.62,1.00,0,34,,https://www.maccollandstokeslandscaping.co.uk/post/small-garden-design-ideas,193
small easy garden designs,Informational,90,17,0.61,0.99,0,18,,https://www.maccollandstokeslandscaping.co.uk/post/small-garden-design-ideas,201
small garden modern design,Informational,90,22,0.63,1.00,0,42,,https://www.maccollandstokeslandscaping.co.uk/post/small-garden-design-ideas,199
small garden plan,Informational,90,14,0.48,0.99,0,31,,https://www.maccollandstokeslandscaping.co.uk/post/small-garden-design-ideas,125
small gardens ideas uk,Informational,90,23,0.44,1.00,0,23,,https://www.maccollandstokeslandscaping.co.uk/post/small-garden-design-ideas,198
small gardens uk,Informational,90,14,0.64,0.76,0,32,,https://www.maccollandstokeslandscaping.co.uk/post/small-garden-design-ideas,193
small landscaped garden ideas,Informational,90,41,0.76,1.00,0,16,,https://www.maccollandstokeslandscaping.co.uk/post/small-garden-design-ideas,88
soil water logging,Informational,90,32,0.74,0.39,0,51,,https://www.maccollandstokeslandscaping.co.uk/post/how-to-fix-a-waterlogged-garden,133
